                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9579,                 3.8552,                 1.6239,                0.75397,                0.48315,                0.63219,                0.28884,                 1.7444,                 1.7524,                 1.3985,             0.00065882,             0.00065882,             0.00065882
                      2,                 1.8742,                 1.8529,                 1.6369,                0.03421,                 0.4382,                0.02261,                0.00831,                 2.0947,                 120.68,                 1.9282,               0.001273,               0.001273,               0.001273
                      3,                 1.9038,                 1.7752,                 1.6541,                0.72957,                0.58427,                0.63838,                0.24991,                 1.9389,                 2.0709,                 1.6306,              0.0018344,              0.0018344,              0.0018344
                      4,                 1.8776,                 1.7643,                 1.6193,                0.76129,                0.49438,                0.60832,                0.23903,                 2.0677,                 1.7816,                 1.7715,              0.0017624,              0.0017624,              0.0017624
                      5,                  1.821,                 1.6499,                 1.6153,                 0.6543,                0.59551,                0.64927,                0.25512,                 1.9116,                 1.7616,                  1.561,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.7548,                 1.5567,                 1.5532,                0.74282,                0.59551,                0.66256,                0.31132,                 1.7439,                 1.4187,                 1.4418,               0.001604,               0.001604,               0.001604
                      7,                 1.7112,                 1.4604,                 1.5199,                0.70196,                0.66292,                 0.6938,                0.27883,                 1.7975,                 1.4067,                 1.4499,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.6598,                 1.3303,                   1.47,                0.78599,                0.57778,                0.71239,                0.34603,                 1.7556,                 1.3548,                 1.4893,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.6315,                 1.3109,                 1.4646,                 0.7842,                0.60674,                0.70041,                0.33852,                  1.798,                 1.2996,                 1.4997,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.5559,                 1.2132,                 1.4194,                0.77742,                0.70643,                0.76994,                0.34615,                 1.7587,                 1.1942,                 1.4957,              0.0012872,              0.0012872,              0.0012872
                     11,                  1.541,                 1.1983,                 1.4201,                0.82918,                0.73034,                 0.7793,                0.40002,                  1.624,                 1.1124,                  1.386,               0.001208,               0.001208,               0.001208
                     12,                 1.4868,                 1.1081,                 1.3645,                0.82177,                0.69663,                0.77955,                0.41674,                 1.5536,                 1.1222,                 1.3361,              0.0011288,              0.0011288,              0.0011288
                     13,                  1.413,                 1.0464,                 1.3256,                0.79886,                0.74157,                0.79172,                0.43988,                 1.5912,                  1.062,                 1.3596,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.4116,                 1.0011,                 1.3202,                0.89799,                0.75281,                0.82401,                0.43153,                 1.6701,                 1.0113,                  1.454,              0.0009704,              0.0009704,              0.0009704
                     15,                  1.361,                0.93708,                 1.2881,                0.81179,                0.75281,                0.78645,                0.46461,                 1.5466,                0.97272,                 1.3688,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2836,                 0.7973,                 1.2744,                0.74887,                0.75281,                0.77389,                0.41805,                 1.5924,                 1.0971,                 1.4148,               0.000812,               0.000812,               0.000812
                     17,                 1.2624,                0.77151,                 1.2671,                 0.8095,                0.81168,                0.82039,                0.41997,                 1.6395,                 1.0015,                 1.3763,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.2012,                0.71345,                 1.2127,                0.87993,                0.74157,                0.81777,                0.46675,                 1.5478,                0.93285,                 1.3155,              0.0006536,              0.0006536,              0.0006536
                     19,                  1.141,                0.65606,                 1.1815,                0.85315,                0.80899,                0.87072,                 0.4985,                 1.5156,                0.90594,                 1.3496,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1199,                0.64076,                 1.1738,                0.79567,                0.78759,                0.80273,                0.47012,                 1.5412,                0.96863,                 1.3454,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.0644,                0.58802,                 1.1382,                0.86571,                0.79681,                0.85711,                0.46761,                 1.5269,                0.87118,                 1.3765,               0.000416,               0.000416,               0.000416
                     22,                 1.0505,                 0.5672,                 1.1372,                0.84179,                0.79775,                0.82204,                  0.471,                 1.4982,                0.91572,                 1.3058,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.0041,                0.53769,                 1.1005,                0.83065,                 0.8427,                0.85616,                0.50684,                 1.5144,                0.84523,                 1.3334,              0.0002576,              0.0002576,              0.0002576
                     24,                0.95925,                0.50934,                 1.0717,                0.89274,                0.79775,                0.85677,                0.50284,                  1.468,                0.85734,                 1.3138,              0.0001784,              0.0001784,              0.0001784
                     25,                0.94544,                0.49621,                 1.0689,                0.88653,                0.82022,                0.86012,                0.51024,                  1.452,                0.85586,                 1.2855,               9.92e-05,               9.92e-05,               9.92e-05
